Chemical Formula,Space Group Number,Band gap (eV)
Si5CO8,12,3.344
SmBeH4,13,0.026
SmMgBr4,13,0.012
SmMnF4,13,0.02
SmPbF4,13,0.007
SmSCl,216,2.682
SmSnBr4,13,0.024
SmSnCl4,13,0.013
SmZnI4,13,0.03
SnGeF4,13,2.773
Sr2BrN,225,0.16
SrCdBr4,13,2.769
SrCdH4,13,1.688
SrCdI4,13,2.046
SrCoF4,13,3.421
SrEuH4,125,2.933
SrGeBr4,13,2.868
SrMnI4,13,1.805
SrSmCl4,125,0
SrSmH4,13,0.042
SrTmI4,13,0.148
SrTmO2,12,0.019
TaCl4F,13,0.848
TaIF4,13,0.905
TbBrF2,225,2.843
TbHgCl4,2,2.348
TbI2Br,15,2.06
TbTeCl2,10,0.861
TiCl2F,225,0.465
TlHBr2,15,2.745
TlHF2,164,0.188
TlHF4,14,2.883
TlInCl4,13,3.728
TlSeI,216,0.536
TlVF4,13,2.077
TmAsO4,13,2.215
TmBiO4,13,0.49
TmBr2F,15,4.052
TmCdI4,13,0.021
TmCoF4,14,1.072
TmH4Pt,13,0.006
TmHgBr4,13,0.001
TmIrO4,13,0.045
TmNbO4,13,3.229
TmRhI4,13,0.015
TmSbO4,14,2.284
TmSeCl,216,1.488
TmSnF4,13,0.046
TmTlO2,225,0.985
VNiH4,13,0.012
VOF2,15,2.024
VSnF4,13,1.777
Y2CO,225,0.09
YAgBr4,13,2.825
YAuCl4,13,2.1
YAuI4,13,1.247
Yb2IN,225,0.336
YbBrO,216,0
YbCdBr4,13,2.643
YbCdH4,13,1.3
YbCdI4,13,1.812
YbCoBr4,14,0.434
YbGeBr4,13,2.845
YbMgBr4,13,3.872
YbMnI4,13,1.715
YbOF,216,6.203
YbPbCl4,13,3.662
YbSmH4,50,0.048
YbSmI4,13,0.044
YHI4,13,0.055
YIF2,10,2.65
YSbO4,14,2.351
YSeCl,216,1.9
YTlI4,13,1.921
ZnCdI4,13,2.199
ZnNiH4,13,0.251
ZnPbBr4,13,2.943
ZnSnCl4,14,3.395
DyBr2F,225,2.808
CeBrCl2,2,0.061
NaCoF4,13,1.844
HoHgCl4,13,0.24
Li2HCl,13,2.703
NaAlI4,13,3.409
Na2IBr,15,2.974
SmTlBr4,13,3.538
CsAuCl2,2,3.552
CdGeF4,13,2.381
DyCuBr4,13,2.631
CeSeCl2,2,0.643
TbCuI4,13,1.967
CrPbF4,13,2.304
ScTlBr4,13,2.621
MgHgCl4,13,2.398
DyAuCl4,13,2.082
YbEuI4,13,1.461
ErTlF4,13,4.805
GdTlBr4,13,1.078
TlCuCl4,13,0
BeCuI4,13,0
KLiI2,15,3.514
TmMgI4,13,0.02
GePtF4,13,0.627
YClO,216,2.202
NaRuF4,13,0
SmHCl4,13,4.854
TmReF4,2,0
RbPrO2,15,3.675
TlReF4,2,1.032
BaGeI4,13,2.579
LiHoO2,15,2.92
HoAlN2,15,0.988
LiLuO2,15,2.743
BaEuBr4,13,1.014
CrHF4,13,2.099
KLaO2,5,4.114
CaNiCl4,13,1.233
TmCrH4,13,0.022
KAuCl2,2,3.163
TbSeI2,15,0
NaNdH4,13,1.431
SmCdCl4,13,0.014
TlICl2,2,0.451
RbYS2,10,2.752
TbSI2,15,0.013
Cs8SbI5,15,0.407
TmMoF4,13,0.206
LiTlCl2,15,3.697
LaICl2,10,2.765
BeNiH4,13,0.002
GeOsCl4,13,0.383
DyHI2,15,2.216
AgAsF4,13,2.523
ScTlCl4,13,4.367
TmMoH4,13,0
Tm2HN,15,0
Cs5SbI8,15,2.619
CsDyI4,13,3.142
CaGeBr4,13,2.858
SbClF2,10,0.028
ZnGeCl4,13,3.403
LiGaO2,15,0.442
SmTmCl4,13,0.03
InBr2F,15,1.003
ZnPtF4,13,0.618
CsTlF2,225,4.462
CsYS2,10,2.603
HoBr2F,15,3.937
KEuF4,13,0.128
TmCrF4,13,0.213
LuICl2,164,2.97
KBI4,13,2.8
LaCl2F,69,3.015
CaSmI4,13,0.046
LiAlI4,13,1.248
BeGeCl4,13,3.538
KTbI4,13,3.755
BaPbBr4,13,3.493
KTlBr2,164,3.234
LiDyI4,2,2.217
DyTlCl4,13,4.278
KNaF2,15,5.193
ErVO4,13,2.048
BaOsCl4,13,0.96
BaHgCl4,13,2.181
