Chemical Formula,Space Group Number,Ed (eV/atom)
AlInI4,62,0.05
Co2PbS4,66,0.206
CuBCl4,112,0.09
RbAlI4,14,-0.067
AlCuSnS4,82,0.097
AgPO3,148,0.246
NaAlS2,15,-0.073
LiAs3H2O9,2,0.014
AlSI3O2,2,0.271
PCl2F3,85,-0.001
TaCl2F3,85,0.119
Cs2CO3,11,0.172
BSCl3O2,2,0.086
Sc2ZnO4,227,0.098
AlBiSeI4,82,0.041
As3Pb5ClO12,176,0.08
AlHS6,1,0.076
SiAg2HgS4,7,0.029
ZrAgF6,2,0.08
Li3PO4,161,0.091
HClO4,121,0.421
CrSeCl7,1,0.14
SbClOF8,33,0.014
SbPO5,19,0.025
AlInCl4,11,0.015
TiAg2HgS4,31,0.075
CaAlH2O2F3,2,0.061
CoCuSe2,122,0.198
Al2PbO4,66,0.231
ScTl2F5,63,0.129
K3Al7S12,4,-0.146
ScH15N5Cl3,62,0.049
AlH15N5F3,62,0.096
MnCr4CuS8,216,0.075
AgHgSeI,19,0.069
CdAgSBr,51,0.119
VAg3S4,31,0.039
Ga2SO6,18,0.273
TlIO3,29,0.071
V2BiS4,126,0.223
AlBiBr6,14,-0.001
BeSO4,2,0.261
FeTeI7,7,-0.072
NaHg2AsO4,55,0.109
ScBiSeCl4,82,0.084
Li3PS4,31,-0.119
K15P4S16Cl3,220,0.098
RbIO3,29,0.075
ScTlF4,15,0.106
As2Br3OF5,14,-0.061
BTeCl7,14,0.035
CrBiCl6,14,0.131
KSO3F,4,0.036
As3Pb5IO9,176,0.056
Li2PSe3,19,-0.094
FeCuCl4,112,-0.002
LiHg2AsO4,55,0.115
Sb2Pb3O8,14,0.178
BiBSeCl4,82,0.036
TlCrI4,14,0.19
Ba2As3ClO6,62,0.002
AlH3I3N,61,-0.019
LiSbS2,15,0.007
Nb2Pb3O8,14,0.087
MnAgSBr,51,0.227
TiPS4,112,0.181
VSCl7,7,0.09
TlGa11O17,40,0.065
CsAlSi3O8,2,0.007
AgBiSI2,63,0.109
NbClF8,15,0.088
ZnAgSI,19,0.188
MnAlGeSe4,82,0.059
CrCuS2,122,0.272
CrInCl4,62,0.2
CuBi3S5,12,0.067
TiCr4CuS8,216,0.1
YPO4,14,0.145
YAg5O4,14,0.084
Na3AsO4,161,0.044
CuHg2AsO4,55,0.133
NbAg3S4,31,0.036
Na2HgGeS4,7,0.037
SmAg5O4,14,0.092
MnAgS2,122,0.156
BSCl7,7,-0.016
Ag2HgSCl2,36,0.035
TaCl3O,14,0.071
AlTeCl7,1,0.003
NbPbF7,2,0.064
AgBS2,122,0.087
LiPO3,14,0.021
TiAgS2,122,0.285
TiH6N2F3,12,0.055
Ag3SbO4,161,0.164
MnBiSeCl4,82,0.071
TlGaSiO4,161,0.018
NbH3OF6,2,0.031
PCl3O,14,0.108
Ag3PS4,161,0.085
Cu2CO3,11,0.164
TiAgSe2,122,0.304
CuBBr4,112,0.077
AlInF4,62,0.123
AlBiSBr4,82,0.023
TiBiSCl4,82,0.114
Cr2CdCl8,7,0.251
TiCuO2,194,0.453
Al4Bi2S9,55,0.081
VCr4CuS8,216,0.091
Cr2BiS4,126,0.249
YPS4,112,0.139
Na3AsS4,31,0.015
PdRuF7,14,0.011
CrPO4,62,0.022
AsH3Cl6O,2,0.125
NaHg2NO5,62,0.044
KAs3H2O9,2,0.015
CsAlSe2,15,-0.251
AlH15I3N5,62,0.026
Li2GePbS4,40,0.047
VBiSeCl4,82,0.068
ScH6N2F3,12,0.018
Co2BiS4,126,0.2
VCuSnSe4,82,0.25
ScH3NCl3,61,0.085
CrCuBr4,112,0.228
Ag15P4Se16Cl3,220,0.228
NaIO3,29,-0.093
Na4TeO5,15,0.013
Al5BS9,36,0.096
Ag2RuS3,9,0.294
AlAsS4,152,0.12
MnAg2GeS4,7,0.059
AgHgIO,19,0.115
Tl3In7S12,4,0.059
NbCl3O,14,0.056
CdAg2SI2,36,0.107
Li3Al7S12,4,0.027
ScCr4CuS8,216,0.091
Y5CuS8,216,0.086
BaAgAsS3,14,0.032
AgPCl6,225,0.211
LiAlBr4,13,-0.014
Cd5As3ClO9,176,0.086
CuAsPbS3,14,0.118
TiSCl3O2,2,0.264
Al4B2S9,12,0.092
AlAgSnS4,82,0.059
AlZnCrSe4,74,0.047
Al2Ag2Bi2Cl8O3,190,0.327
Mn2Cr3CuS8,160,0.06
V2BiSe4,126,0.178
BP2H12N3O8,14,0.042
SiAg2S3,9,0.057
AgPbSe2,166,0.091
Ti2CdS4,82,0.337
AlTl2Cl5,63,0.107
AlCr4AgSe8,216,0.037
ScBiSCl4,82,0.091
BPdF5,85,0.069
TiBrO,29,0.203
Co2BiSe4,126,0.166
AlCuSnSe4,82,-0.0
ScTlSiO4,161,0.078
CuSO4,2,0.055
LiAlI4,14,-0.024
CuSbS2,15,0.108
AgAsCl6,225,0.143
AlSeF7,1,0.122
InGaCl4,62,0.021
Rb8GeS6,33,0.07
AgHgBrO,51,0.098
ScCuSe2,122,0.25
NaSO3F,4,0.013
TlFeI4,14,-0.037
Cu2PHO4,151,0.165
KPF6,225,0.08
As3Pb2O6F,62,0.063
Ca5As3ClO9,176,0.042
TiCuCl4,112,0.279
As3Pb5BrO9,176,0.037
NaBH2OF4,61,0.054
NaSbS2,15,0.034
AlH6I3N2,62,-0.005
AlHSe2,62,0.039
Ag2PdO3,14,0.154
VAgS2,122,0.223
Na2Al2Bi2S3Cl8,190,0.07
AgAsO3,227,0.104
PHF6,225,0.473
K2CO3,11,0.102
AgSbF7,14,0.068
AlSBr3O2,2,0.236
Ag2AsHO4,151,0.035
Sc2VCl8,15,0.144
Rb3PO4,161,0.096
Au2CO3,11,0.222
Sr5As3BrO12,176,-0.005
Tl2GaF5,63,0.083
Nb2PbO6,162,0.033
RbAlSe2,15,-0.232
AlBiSI4,82,0.11
CuAs3H2O9,2,0.061
Li2SeO4,70,0.048
TiCuS2,122,0.334
SnPdF6,2,0.031
AgHgSF,51,0.096
Li2GeS3,36,-0.003
ScH4NF4,135,0.086
Al2VBr8,15,-0.004
ScH14SeNO14,2,0.013
K5PSeO4,129,0.104
AlBiSF4,82,0.13
CuB5S8,216,0.655
